epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.38469,3.38649,5.42737,1.69563,0,0,0,0,2.99983,5.3248,1.41359,2.196e-05,2.196e-05,2.196e-05
2,4.94371,3.09936,5.38053,1.4781,0,0,0,0,3.04971,5.32312,1.33007,4.5901e-05,4.5901e-05,4.5901e-05
3,5.83914,2.86026,5.28657,1.32883,0,0,0,0,2.98318,5.30098,1.28338,6.9359e-05,6.9359e-05,6.9359e-05
4,6.7584,2.72384,5.13274,1.23956,0,0,0,0,2.62205,5.23652,1.21072,9.23337e-05,9.23337e-05,9.23337e-05
5,7.68178,2.535,4.85997,1.14598,0,0,0,0,2.3849,5.05927,1.16555,0.000114825,0.000114825,0.000114825
6,8.64742,2.52868,4.56454,1.09582,0,0,0,0,2.32409,4.7531,1.14487,0.000136834,0.000136834,0.000136834
7,9.94291,2.37779,4.27056,1.04855,0.01787,0.00455,0.01014,0.0041,2.10961,4.33724,1.11472,0.000158359,0.000158359,0.000158359
8,10.8103,2.13584,3.9722,1.02008,0.08435,0.03263,0.05675,0.03301,1.85864,3.84255,1.09002,0.000179402,0.000179402,0.000179402
9,11.7554,2.20563,3.67109,1.01137,0.06943,0.08469,0.07544,0.04709,1.74359,3.15743,1.0651,0.000199961,0.000199961,0.000199961
10,12.6481,2.17553,3.52647,1.00194,0.5267,0.07075,0.0808,0.04942,1.618,2.47347,1.04642,0.000220037,0.000220037,0.000220037
11,13.5088,1.93385,3.24696,0.96151,0.52346,0.08056,0.07929,0.05379,1.49133,2.27511,1.03368,0.000219844,0.000219844,0.000219844
12,14.363,2.08413,3.22954,0.98188,0.56122,0.08159,0.08671,0.06003,1.44745,2.24994,1.02083,0.000217428,0.000217428,0.000217428
13,15.2623,1.92875,3.08068,0.95911,0.56297,0.07951,0.0952,0.06463,1.48921,2.22277,1.01361,0.000215013,0.000215013,0.000215013
14,16.211,2.01907,3.02283,0.95581,0.0503,0.1798,0.11,0.07352,1.51977,2.23529,1.01435,0.000212597,0.000212597,0.000212597
15,17.1122,1.93343,2.92634,0.95838,0.52896,0.10379,0.12732,0.08478,1.37309,2.36226,1.00693,0.000210182,0.000210182,0.000210182
16,18.0568,1.86167,2.86065,0.94148,0.49974,0.11003,0.14109,0.09139,1.27799,2.60931,0.99951,0.000207766,0.000207766,0.000207766
17,18.9423,1.76433,2.76832,0.93482,0.49581,0.10632,0.14265,0.09528,1.24441,2.59177,0.99461,0.00020535,0.00020535,0.00020535
18,19.8734,1.90433,2.67908,0.94001,0.56356,0.11492,0.15163,0.09736,1.33649,2.41177,1.00112,0.000202935,0.000202935,0.000202935
19,20.8437,1.84121,2.64192,0.92646,0.49837,0.12095,0.15587,0.10234,1.34804,2.366,1.00253,0.000200519,0.000200519,0.000200519
20,21.7848,1.81421,2.51359,0.92544,0.53746,0.13083,0.16775,0.11218,1.2535,2.264,0.99082,0.000198104,0.000198104,0.000198104
21,22.7164,1.7194,2.46472,0.91761,0.57327,0.13924,0.17272,0.11292,1.22109,2.10513,0.98984,0.000195688,0.000195688,0.000195688
22,23.6389,1.83155,2.48496,0.92574,0.54887,0.16004,0.17872,0.1161,1.20873,1.96919,0.98727,0.000193272,0.000193272,0.000193272
23,24.5484,1.68384,2.37159,0.91378,0.55715,0.16877,0.19193,0.12687,1.19276,1.96367,0.98368,0.000190857,0.000190857,0.000190857
24,25.5036,1.71031,2.26892,0.92092,0.53572,0.17878,0.21519,0.14508,1.15938,1.92086,0.97441,0.000188441,0.000188441,0.000188441
25,26.4559,1.77457,2.19621,0.91835,0.49812,0.18847,0.22022,0.14305,1.15609,1.90134,0.97141,0.000186026,0.000186026,0.000186026
26,27.4906,1.76713,2.16178,0.90995,0.49939,0.19656,0.22653,0.14502,1.19089,1.84092,0.97429,0.00018361,0.00018361,0.00018361
27,28.41,1.64463,2.11312,0.90618,0.57567,0.20125,0.23522,0.15401,1.1539,1.79333,0.97096,0.000181194,0.000181194,0.000181194
28,29.3586,1.57992,1.96286,0.8991,0.53873,0.20597,0.2458,0.16629,1.12744,1.82306,0.96437,0.000178779,0.000178779,0.000178779
29,30.3771,1.61078,2.0353,0.90539,0.56325,0.21252,0.25282,0.17535,1.10925,1.82717,0.96293,0.000176363,0.000176363,0.000176363
30,31.3279,1.70041,1.95632,0.90599,0.56444,0.20997,0.25043,0.17309,1.13895,1.72677,0.96599,0.000173948,0.000173948,0.000173948
31,32.2421,1.6086,2.01108,0.89303,0.57165,0.21994,0.25171,0.17371,1.12957,1.66871,0.96722,0.000171532,0.000171532,0.000171532
32,33.189,1.58993,1.84631,0.89036,0.61724,0.21413,0.25552,0.17627,1.0995,1.54933,0.96851,0.000169116,0.000169116,0.000169116
33,34.1387,1.64956,1.77126,0.90008,0.6381,0.22412,0.26087,0.17914,1.09593,1.47383,0.9674,0.000166701,0.000166701,0.000166701
34,35.151,1.56292,1.73421,0.88335,0.65925,0.22528,0.26471,0.18003,1.08446,1.43898,0.96727,0.000164285,0.000164285,0.000164285
35,36.2065,1.67804,1.8579,0.89965,0.64397,0.23366,0.25914,0.18161,1.09657,1.44109,0.96777,0.00016187,0.00016187,0.00016187
36,38.8152,1.52046,1.68356,0.88032,0.62544,0.24127,0.25993,0.18141,1.1073,1.51643,0.96947,0.000159454,0.000159454,0.000159454
37,39.7522,1.54804,1.69613,0.89269,0.59884,0.24162,0.26167,0.18388,1.10479,1.57213,0.97034,0.000157038,0.000157038,0.000157038
38,40.778,1.62451,1.70084,0.89971,0.59872,0.25749,0.27352,0.18873,1.08292,1.51873,0.96871,0.000154623,0.000154623,0.000154623
39,41.7434,1.53659,1.57771,0.88056,0.62052,0.25911,0.27165,0.18917,1.08658,1.45233,0.96794,0.000152207,0.000152207,0.000152207
40,42.8023,1.52408,1.5614,0.876,0.66263,0.25031,0.26992,0.18504,1.0909,1.39742,0.9678,0.000149792,0.000149792,0.000149792
41,43.8339,1.51771,1.54394,0.88149,0.6698,0.24974,0.27252,0.18471,1.08751,1.38093,0.96606,0.000147376,0.000147376,0.000147376
42,44.8692,1.38283,1.46454,0.87088,0.69337,0.26456,0.27767,0.19266,1.07016,1.39663,0.96426,0.00014496,0.00014496,0.00014496
43,45.7999,1.44765,1.49909,0.88211,0.69093,0.25571,0.28183,0.19794,1.0579,1.38649,0.96305,0.000142545,0.000142545,0.000142545
44,46.7928,1.473,1.42815,0.88085,0.69099,0.25725,0.28614,0.20235,1.04322,1.33426,0.96226,0.000140129,0.000140129,0.000140129
45,47.7403,1.57983,1.51842,0.88751,0.68915,0.25789,0.28686,0.20219,1.06577,1.29397,0.96382,0.000137714,0.000137714,0.000137714
46,48.7444,1.52051,1.48748,0.88565,0.66562,0.25071,0.28802,0.20036,1.07599,1.26919,0.96926,0.000135298,0.000135298,0.000135298
47,49.8537,1.53158,1.47024,0.8796,0.65964,0.26217,0.29713,0.20627,1.0631,1.25725,0.96899,0.000132882,0.000132882,0.000132882
48,50.8811,1.47015,1.43188,0.87872,0.65825,0.29382,0.30325,0.21479,1.04891,1.22624,0.96339,0.000130467,0.000130467,0.000130467
49,51.8043,1.54961,1.44852,0.88535,0.56617,0.31147,0.30334,0.21483,1.03756,1.21246,0.96149,0.000128051,0.000128051,0.000128051
50,52.798,1.54302,1.41015,0.87692,0.60243,0.31304,0.30249,0.21036,1.05313,1.21177,0.96328,0.000125636,0.000125636,0.000125636
51,53.6969,1.41681,1.30395,0.87202,0.60715,0.3146,0.30484,0.21203,1.06766,1.2201,0.96474,0.00012322,0.00012322,0.00012322
52,54.6152,1.35571,1.26739,0.8727,0.63414,0.32901,0.31791,0.22729,0.99664,1.20618,0.95682,0.000120804,0.000120804,0.000120804
