epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.41065,3.38649,5.42737,1.69563,0,0,0,0,2.99983,5.3248,1.41359,2.196e-05,2.196e-05,2.196e-05
2,3.55068,3.09883,5.38018,1.47784,0,0,0,0,3.05107,5.32312,1.32997,4.63141e-05,4.63141e-05,4.63141e-05
3,4.53557,2.85952,5.28451,1.32725,0,0,0,0,2.97734,5.302,1.28248,7.06199e-05,7.06199e-05,7.06199e-05
4,5.42797,2.71948,5.1265,1.23621,0,0,0,0,2.60633,5.23293,1.20711,9.48774e-05,9.48774e-05,9.48774e-05
5,6.34226,2.52372,4.84501,1.14086,0,0,0,0,2.37033,5.04839,1.16234,0.000119087,0.000119087,0.000119087
6,7.34179,2.51789,4.53619,1.09083,0,0,0,0,2.31343,4.71177,1.1406,0.000143247,0.000143247,0.000143247
7,8.23886,2.37063,4.22996,1.04518,0.01905,0.00981,0.01238,0.00554,2.09142,4.26205,1.11147,0.00016736,0.00016736,0.00016736
8,9.30074,2.12211,3.91875,1.01613,0.08147,0.0468,0.06348,0.04203,1.84319,3.68561,1.08775,0.000191424,0.000191424,0.000191424
9,10.3079,2.18535,3.60258,1.0072,0.0612,0.0858,0.07567,0.04779,1.71045,2.93875,1.05922,0.00021544,0.00021544,0.00021544
10,11.351,2.16056,3.46969,0.99884,0.52442,0.07616,0.07712,0.05042,1.57441,2.29659,1.0389,0.000239408,0.000239408,0.000239408
11,12.3161,1.9168,3.19601,0.95859,0.55693,0.08017,0.07936,0.05536,1.46461,2.16453,1.02677,0.000241584,0.000241584,0.000241584
12,13.2458,2.07002,3.18941,0.9784,0.55859,0.08063,0.08528,0.06003,1.4542,2.16803,1.01317,0.000241343,0.000241343,0.000241343
13,14.3627,1.9125,3.03691,0.95526,0.52114,0.08151,0.09158,0.06299,1.48182,2.11871,1.00568,0.000241101,0.000241101,0.000241101
14,15.303,1.9949,2.963,0.95172,0.69815,0.08546,0.11265,0.07513,1.46605,2.09662,1.00966,0.00024086,0.00024086,0.00024086
