epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,114.019,0.82015,2.45473,0.90417,0.96159,0.93011,0.96919,0.83201,0.55522,0.64369,0.84052,0.00998,0.00332667,0.00998,0.00332667,0.00998,0.00332667,0.00998,0.00332667
2,201.575,0.6857,0.73562,0.86287,0.98403,0.96562,0.98665,0.85825,0.54221,0.49229,0.83762,0.0197822,0.00659407,0.0197822,0.00659407,0.0197822,0.00659407,0.0197822,0.00659407
3,284.314,0.68212,0.64267,0.86531,0.98701,0.97297,0.98984,0.88845,0.45336,0.43788,0.82416,0.0293864,0.00979547,0.0293864,0.00979547,0.0293864,0.00979547,0.0293864,0.00979547
4,361.769,0.61956,0.56502,0.85507,0.99072,0.97785,0.99202,0.92078,0.37715,0.35936,0.81037,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,441.244,0.55546,0.4979,0.8424,0.99272,0.97901,0.99274,0.9293,0.35559,0.32567,0.80209,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,520.562,0.51331,0.45157,0.83312,0.99348,0.9804,0.99292,0.93898,0.32578,0.29405,0.7922,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,597.975,0.48613,0.42076,0.82594,0.99413,0.98338,0.99371,0.94845,0.3069,0.28207,0.79096,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,678.675,0.46479,0.39136,0.82094,0.98163,0.96299,0.98639,0.92464,0.35273,0.337,0.80135,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,755.453,0.44631,0.37045,0.81826,0.99394,0.9852,0.99394,0.95995,0.27002,0.24792,0.78389,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,832.384,0.43021,0.35396,0.81545,0.99483,0.98518,0.99423,0.95964,0.27381,0.24247,0.7837,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,910.633,0.41988,0.33915,0.81251,0.99481,0.98574,0.9942,0.96141,0.26951,0.23461,0.783,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,987.203,0.40745,0.32852,0.80983,0.99521,0.9849,0.99421,0.96858,0.2494,0.22804,0.77791,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1063.69,0.40208,0.31988,0.80894,0.99513,0.98661,0.99425,0.97003,0.24334,0.21951,0.77828,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1143.69,0.39065,0.31164,0.80805,0.99506,0.9822,0.99308,0.96795,0.24399,0.21707,0.77781,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
